text,tags
MIC G36_HCM_mock cut over readiness proof.pdf,"['Cut-Over Plan', 'HCM']"
MIC G36_MM-WM Configuration document email proof.pdf,"['Email', 'MM']"
MIC G36_MM-WM_UT Attendance sheets.pdf,['MM']
MIC G36_MM_Manual settings_email proof.pdf,"['Email', 'MM']"
MIC G36_MM_material master_confirmation email proof.pdf,"['Email', 'Master Data', 'MM']"
MIC G36_MM_mock cut over readiness proof.pdf,"['Cut-Over Plan', 'MM']"
MIC G36_Mgmt Users_roles creation_email proof.pdf,['Email']
MIC G36_Mock cut over system readiness email proof.pdf,['Email']
MIC G36_PM Configuration document email proof.pdf,"['Email', 'PM']"
MIC G36_PM Spares_Master data confirmation email proof.pdf,"['Email', 'Master Data', 'PM']"
MIC G36_PM_UT Attendance sheets.pdf,['PM']
MIC G36_PM_master data confirmation email proof.pdf,"['Email', 'Master Data', 'PM']"
MIC G36_PM_mock cut over readiness proof.pdf,"['Cut-Over Plan', 'PM']"
MIC G36_PP Configuration document email proof.pdf,"['Email', 'PP']"
MIC G36_PP_Master data confirmation email proof.pdf,"['Email', 'Master Data', 'PP']"
MIC G36_PP_QM_mock cut over readiness proof.pdf,"['Cut-Over Plan', 'QM']"
MIC G36_PP_UT Attendance sheets.pdf,['PP']
MIC G36_Phase initiation email proof.pdf,['Email']
MIC G36_Production system readiness email proof.pdf,['Email']
MIC G36_Project Progress metrics.pdf,['General']
MIC G36_Project charter.pdf,['Project Charter Document']
MIC G36_Project management plan.pdf,['General']
MIC G36_QAS_MM_PP_PM_String test script_V1.0.xlsx,"['Testing Docs', 'MM', 'PP', 'PM']"
MIC G36_QAS_MM_PP_QM_FICO_String test script_V1.0.xlsx,"['Testing Docs', 'FICO', 'MM']"
MIC G36_QAS_PM_MM_FICO_String test script_V1.0.xlsx,"['Testing Docs', 'FICO', 'MM']"
MIC G36_QAS_PM_QM_String test script_V1.0.xlsx,"['Testing Docs', 'PM', 'QM']"
MIC G36_QM Configuration document email proof.pdf,"['Email', 'QM']"
MIC G36_QM_GoLive sign off.pdf,['QM']
MIC G36_QM_UT Attendance sheets.pdf,['QM']
MIC G36_Realize Phase Closure Report_30092021.pdf,['Realize Phase']
MIC G36_SWT_Action Log_V1.0_07092021.xlsx,['SWT']
MIC G36_SWT_FICO_participants list.pdf,"['SWT', 'FICO']"
MIC G36_SWT_HCM_participant list.pdf,"['SWT', 'HCM']"
MIC G36_SWT_MM-WM_participants list.pdf,"['SWT', 'MM']"
MIC G36_SWT_PM_participants list.pdf,"['SWT', 'PM']"
MIC G36_SWT_QM_Participant List.pdf,"['SWT', 'QM']"
MIC G36_SWT_User feedback forms.pdf,['SWT']
MIC G36_Scope statement_V1.0.pdf,['General']
MIC G36_Solution Walk through Schedule_V1.0_10082021.xlsx,['SWT']
MIC G36_Training - Participants list.xlsx,['Training Material']
MIC G36_Training - Participants list_V1.0_10082021.xlsx,['Training Material']
MIC G36_Training strategy.pdf,['Training Material']
MIC G36_UT & UAT_schedule email proof.pdf,"['Email', 'Testing Docs']"
MIC G36_UT&UAT schedule_revised_email proof.pdf,"['Email', 'Testing Docs']"
MIC G36_Unit test template PP .xlsx,"['Templates', 'Testing Docs', 'PP']"
MIC G36_Unit test template PP_QAS .xlsx,"['Templates', 'Testing Docs', 'PP']"
MIC G36_Unit test template QM.xlsx,"['Templates', 'Testing Docs', 'QM']"
MIC G36_Unit test template QM_QAS.xlsx,"['Templates', 'Testing Docs', 'QM']"
MIC G36_User Roles Assignment_V1.0_07092021.xlsx,['General']
MIC G36_User Roles Assignment_V1.0_17102021.xlsx,['General']
MIC G36_User Training and UAT Schedule_V2.0_17082021.xlsx,"['Training Material', 'Testing Docs']"
MIC G36_User Training and UAT Schedule_V2.1_19082021.xlsx,"['Training Material', 'Testing Docs']"
MIC Technical Support - Nournet PR.xlsx,['General']
MIC- G36 -Roles and Authorisation Matrix.xlsx,['General']
MIC-G36 & 5.56 S4HANA EE Impl Project SAP Enabmt Kickoff V1.0 13042021.pptx,['General']
MIC-G36 & 5.56_Delay record_01062021.xlsx,['General']
MIC-G36 -FRS-MM-Purchase Order Workflow_BL-MM-003 V1.0 27062021.pdf,"['FRS', 'MM']"
MIC-G36 -FRS-MM-Purchase Requisition Workflow_BL-MM-001_ V1.0 27062021.pdf,"['FRS', 'MM']"
MIC-G36 Roles and Authorisation matrix MM & WM.xlsx,['MM']
MIC-G36-Roles and Authorisation Matrix (Plant Maintenance).xlsx,['General']
MIC-G36-TS-BL-MM-002-Purchase Requisition Approval workflow.pdf,['MM']
MIC-G36-TS-BL-MM-003-MAT PR Form.pdf,['MM']
MIC-G36-TS-BL-MM-005-Purchase Order Approval workflow.pdf,['MM']
MIC-G36-TS-BL-MM-006-Purchase Order Printout.pdf,['MM']
MIC-G36-TS-BL-MM-007-Service PR Form.pdf,['MM']
MIC-G36-TS-BL-MM-009-Service Purchase Order Printout.pdf,['MM']
MIC-G36-TS-BL-MM-011-Reservation Printout - Goods Transfer.pdf,['MM']
MIC-G36-TS-BL-MM-012-Reservation Printout - Goods issue.pdf,['MM']
MIC-G36-TS-BL-MM-013-Putaway Slip Printout.pdf,['MM']
MIC-G36-TS-BL-MM-014-Picking Slip Printout.pdf,['MM']
MIC-G36-TS-BL-MM-015-Tools request Form.pdf,['MM']
MIC-G36-TS-BL-PP-008-No confirmation If yield is less than actual.pdf,['PP']
MIC-G36-TS-BL-PP-015-Job card with barcode for production order need to be print.pdf,['PP']
MIC-G36-TS-BL-QM-005-Notification to the quality team during lot creation.pdf,['QM']
MIC-G36-TS-BL_PP_002-CUSTOMIZED LABEL FORM.pdf,['PP']
MIC-G36-TS-BL_PP_004-NOTIFICATION TO NEXT ASSEMBLY.pdf,['PP']
MIC-G36-TS-BL_PP_005-Inspection lot due analysis report.pdf,['PP']
MIC-G36-TS-BL_PP_006-Customized packing list form during GR.pdf,['PP']
MIC-G36-TS-BL_PP_011-FG Delivery Serial Number form.pdf,['PP']
MIC-G36-TS-BL_PP_012-FG Delivery Internal form.pdf,['PP']
MIC-G36-TS-BL_PP_013-Delivery Customer Form.pdf,['PP']
MIC-G36-TS-BL_QM_003-SCRAP REPORT.pdf,['QM']
MIC-G3~1.PPT,['PP']
MIC-Learning catalog_V1.0_03062021.xlsx,['General']
MIC-PP-G36 -Roles and Authorisation matrix1.xlsx,['PP']
MIC-QM-G36 -Roles and Authorisation matrix.xlsx,['QM']
MICG36-BJ05-001_Discrete Manufacturing_User manual.pdf,['User Manual']
MICG36-TS-BL-QM-009-Customized serial number for finished products.pdf,['QM']
MIC_Customer enablement manual.pptx,['General']
MIC_Customer team readiness.pdf,['General']
MIC_G36 & 5.56 _ Q-gate invite.jpg,['Email']
MIC_G36 & 5.56_Backlog list_V1.0_27062021.xlsx,['General']
MIC_G36 & 5.56_FTS Details Tracker_V1.0.xlsx,"['Email', 'FTS']"
MIC_G36 & 5.56_FTS Schedule_V1.1_06052021.xlsx,"['Email', 'FTS']"
MIC_G36 & 5.56_WRICEF Catalog_V1.0_27062021.xlsx,['General']
MIC_G36 & 5.56_project way forward approval from P&L and vertical.pdf,['PP']
MIC_G36&5.56_FTS_FICO_Organization Structure_V 1.0_31052021.docx,"['Email', 'FTS', 'FICO']"
MIC_G36&5.56_SDD_FICO_Accounting and Financial Close_23062021_V1.0.pdf,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Accounts Payable_23062021_V1.0.pdf,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Accounts Payable_V 1.0_06062021.docx,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Asset Accounting_23062021_V1.0.pdf,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Asset Accounting_V 1.0_08062021.docx,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Cash & Bank_V 1.0_08062021.docx,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Cash&Bank_23062021_V1.0.pdf,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Controlling process_V 1.0_10062021.docx,"['SDD', 'FICO']"
MIC_G36&5.56_SDD_FICO_Controlling_23062021_V1.0.pdf,"['SDD', 'FICO']"
